ieul_企業id,ieul_店舗id,名前,性別,年齢,都道府県,市区町村,住所全部,売却回数,売却検討時期,査定依頼時期,売出時期,売却時期,引渡時期,査定価格,販売価格,値下げしたかどうか,売り出してから何ヶ月後に値下げしたか,値下げ価格,成約価格,媒介契約の形態,見出し,売却理由,売却時に不安だったこと,この会社に決めた理由,不動産会社の対応満足度,不動産会社の対応満足度の理由,今後売却する人へのアドバイス,不動産会社に改善してほしい点,物件種別
833,842,石山 亜里沙,女性,45,福島県,喜多方市,塩川町吉沖字柴城,2回め,2019-04-01,2019-09-01,2019-09-01,2019-11-01,2019-11-01,1000000,1000000,0,,,1000000,2,真摯に向き合っていただきました。,1,身内の資産整理で売却を検討していました。生前贈与絡みは初めてだったので不安が多く、詳しく教えてほしいと思いました。またすぐに売れるのかも不安でした。,担当者は若かったがやる気があり、上司も一緒にきたので安心感があった。名義人五人分の資料を作成してくれて送ってくれたのも良かった。,4,最初から真摯に話を聞いていただきとても助かりました。必要以上の電話連絡もなく、ストレスを感じることはありませんでした。他の不動産を経験してないので、わからないですが、良い不動産家だと思います。,頑張ってください。,少し時間にルーズ。,土地
834,843,山崎 浩一,男性,61,福島県,喜多方市,熱塩加納町加納字窪甲,3回以上,2018-02-01,2019-03-12,2019-08-26,2019-10-09,2019-11-03,8000000,6000000,1,1,1000000,3500000,2,結局時間切れで残念な結果となってしまいました。,6,老後のことを考えて息子夫婦の近くに引っ越すために、売却を検討しました。いくらで売却できるのか分からなかったため、複数の不動産会社に査定をお願いして売却額を決定しました。実際に売却するまで1年ほどかかりましたが、何とか売却することができてホッとしています。,最初の問い合わせからレスポンスが早かった。また、唯一営業担当者が出向いてくださり、顔を合わせてお話ししたことが大きかったです。,1,売却者よりも儲け主義が最後に手は出てきており買い手重視で、価格面では、ほとんどいい方向に動くことがなかった。最終的には値下げや、賃貸で住み続けなどの提案はだしてきたけど、こちらの要望はきいてもらえることはなかった。,もっとよいところを見つけてほしいと思います。,いきなり、準委任契約で相手をしばりにくるのはやめてほしい。,戸建て
835,844,北脇 雄真,男性,60,福島県,二本松市,戸沢字松ケ作,初めて,2018-09-30,2018-10-29,2018-10-29,2019-03-31,2019-05-27,55000000,59000000,1,3,3000000,48800000,3,野村不動産グループは誠実で信用できると思いました。,1,既婚のため売却。なるべく早く売却をしたいと考えていたので結果通りとなり満足しています。身の回りの変化は特にありません。値下げもほぼせずに売却出来た点も満足。,新しく購入するマンションの購入会社の方からの推薦で、売却した不動産屋に決めました。,4,誠意をもって非常に熱心に売却活動に取り組んでいただきました。言語明瞭でメイルでのやりとりが迅速で何かと勉強になりました。不動産知識が豊富でわかりやすく丁寧な説明に満足しました。,不動産業者はピンキリなので昔ながらの不動産屋には要注意。,多忙を極めているのだろうと思わせる場面もあり余裕を持ってあたっていただければと、少し感じました。,マンション
836,845,小島 武史,男性,57,岩手県,奥州市,江刺区広瀬字堂ノ下,2回め,2019-02-01,2019-10-01,2019-11-29,2020-01-11,2020-02-01,15000000,18000000,0,,,16000000,3,希望を最優先してもらってます,1,引き渡しまでどれくらい時間がかかるのが一般的か分からず、一般の方の動きが少なかった。角地ではあったが、土地の形が変わっていたため、時間がかかるのは予想していなかった。,東横線物件に強かったので、きっと良いお客がみつかるだろうと思いました。また、仲介手数料の割引サービスがあったこと。,4,親切、丁寧、写真のセンスはイマイチでしたがしたが、あとは、問題なく満足しています。私の希望も取り入れながら対応してもらいました。店舗が家から遠いのですが遅い時間でも、待っていてくれてました。,頼りになる不動産屋さんです。,,土地
837,846,沖 一秀,男性,52,愛知県,豊川市,国府町社脇,3回以上,2018-09-01,2018-09-01,2018-09-01,2019-03-12,2019-03-12,2500000,2500000,0,,,2500000,3,売却価格に不満は残るものの、お荷物であった不動産を処分できたことはよかった。,5,売却物件が1973年築の旧耐震の建物でした。管理費と修繕費と固定資産税で年間50万円くらいのコストがかかり買い手がいるかとても不安でした。,かなり積極的に対応してくれ、買い手探しも手広くやってくれましたのでこちらでお願いさせて頂きました。,2,担当者の行動の仕方、担当者とのコミュニケーションでストレスを感じることがあった。もっと積極的かつ能動的に行動してもらいたいと思ったことが多々あった。,不動産売却の際には不動産会社の選択は重要ですが、実際の担当者との相性も大切です。,まあ、不動産屋というのはあのようなものだと思います。改善したほうがいいと思う点は特にありません。,戸建て
838,847,吉野 博子,女性,41,京都府,綾部市,下八田町柳ケ迫,初めて,2018-05-01,2018-06-22,2018-06-22,2018-10-31,2018-10-31,27000000,27000000,1,1,1000000,24000000,2,対応の早さが一番の好印象でした。,1,"越すことのならぬ世が住みにくければ、住みにくい
所をどれほどか、くつろげて、束の間の命を、束の間でも
住みよくせねばならぬ。ここに詩人という天職できて、ここに
画家という使命が降る。あらゆる芸術の士は人の世を長閑（のどか）
にし、人の心を豊かにするがゆえに尊い。",丁寧な対応、分かりやすい説明、知らないことは持ち帰り後でちゃんと説明してくれる。プライベートな話題を提供してくれて親しみ易い。,4,ほどよく会話しやすく、相談もしやすかったです。販売計画や受け渡し後の通園なども相談できて助かりました。担当者の連絡は必要最小限で大事な用件は別途メールにて送ってくれて確認し安かったです。,自分なりに適正価格を把握して、自分の事情の優先順位を付け、それに見合った対応をしてくれる会社が最適だと思います。,ややフレンドリー過ぎかな。,マンション
839,848,武田 均,男性,54,愛知県,豊田市,阿蔵町明外,2回め,2019-02-01,2019-04-01,2019-04-01,2019-10-31,2019-10-31,16000000,16000000,0,,,16000000,4,下世話ですが、やはり金額が重要,5,"住みにくき世から、住みにくき煩いを引き抜いて、ありがたい
世界をまのあたりに写すのが詩である、画である。あるは音楽
と彫刻である。こまかにいえば写さないでもよい。
ただまのあたりに見れば、そこに詩も生き、歌もわく。
着想を紙に落とさぬとも摎鏘（きゅうそう）の音は胸裏に起こる。",最初に相談した時から売却金額を決める報告書がしっかりしており、信頼できると思い、専任媒介で依頼したのがきっかけでした。また、金額の相談もあったので、満足でした。,4,現地に下見に来られた際も、測量会社や、司法書士の方も含めて、丁寧でした。素人くさい質問にも、きちんとこたえていただけたので安心でした。逆に、「さあ！売りましょう」とギラギラしていなかったのが、よかったのかも。,当初考えているより、２倍は時間がかかり、１０倍は手間と書類と印鑑が必要です。,特にないです。,土地
840,849,田村 圭一,男性,53,佐賀県,鳥栖市,本通町１丁目,3回以上,2019-08-01,2019-10-21,2019-10-21,2019-12-07,2019-12-28,45000000,45000000,0,,,45000000,2,対応の早さ、売却値段の高さが決め手でした！,1,"丹青は画架に向かって塗末せんでも五彩の絢爛(けんらん）
はおのずから心眼に映る。ただおのが住む世を、かく観じ得て、霊台方寸のカメラに澆季溷濁（ぎょうきこんだく）の俗界を清くうららかに収めえれば足る。このゆえに無声の詩人に一句なく、無色の画家には尺嫌（せっけん）なきも、かく人生を観じ得るの点において、またこの不同不二の乾坤を建立
し得るの点において、我利私欲の覊絆（きはん）を掃蕩（そおとう）するの点において、―千金の子よりも、万乗（ばんじょう）の君よりも、あらゆる俗界の寵児よりも幸福である。",築年数が古いため、まずは売れるかが心配でした。しかし、業者さんのご協力で売却にたどり着きました。なんといつても、販売実績と積極的アプローチができて大満足。素晴らしい方にめぐりあいました。,5,わたしの持ち家のマンションは駅、バス停、学校、スーパー、コンビニ、スポーツクラブ、飲食店、図書館、役所などたいへん至近な場所にあったため、指名買いのお客様がたいへん多くいたので、担当者の方には迅速に対応いただけた。,わたしの場合は購入希望者の多い物件だったため、早く、高い金額で売却することができました。人それぞれに売却理由があると思いますので、その条件に見合った活動や対応をしてくれる会社や担当者が適していると思います。,特になし。,戸建て
841,850,二階 大介,男性,58,愛知県,岡崎市,切山町字大下モ,初めて,2019-05-01,2019-05-01,2019-05-01,2019-07-01,2019-07-01,19000000,24000000,0,,,23400000,3,こまめな対応,2,"世に住むこと二十年にして、すむにかいある世と知った。
二十五年にして明暗は表裏のごとく、日の当たるところには
きっと影がさすと悟った。三十の今日はこう思っている。
―喜びの深きとき憂いいよいよ深く、楽しみの大なるほど
苦しみも大きい。これを切り放そうとすると身が持てぬ。",不動産屋さんの代表が女性で話しやすかった事。土地の調査等お任せできて、現地に出向く回数が最小ですんだので助かりました。頂いた周辺地域の相場等はよく理解できましたが、宅地なのか農地なのかの違いがハッキリしませんでした。,3,必要以上の電話連絡ではなかったが、もう少し進行状況など連絡もらえたら良かったです。他の不動産会社からは必要以上に電話があり、少し嫌気がさしていたが、担当者は必要最低限の連絡で、簡潔に対応していた。,今回の場合は最適な業者だったと思っていますが、人それぞれに事情があると思います。その事情で優先順位を付け、その条件に見合った活動、対応をしてくれる会社が適した会社ではないかと考えます。,こまめな連絡はしてほしい。また、内覧の直前に連絡は困る。,マンション
842,851,高塚 恵美,女性,59,秋田県,秋田市,豊岩豊巻字中山,2回め,2019-11-15,2019-11-15,2019-11-15,2019-11-24,2019-11-24,2000000,1500000,0,,,1500000,4,対応の速さと誠実な人柄」で良かった。,5,"かたづけようとすれば世が立たぬ。金は大事だ、大事なものが
殖えれば寝る間も心配だろう。恋はうれしい、うれしい恋が
積もれば、恋せぬ昔がかえって恋しかろ。閣僚の肩は数百万人
の足をささえている。背中には重い天下がおぶさっている。
うまい物も食わねば惜しい。少し食えば飽き足らぬ。存分食えば
あとが不愉快だ。",一番反応の早かった業者に決めました。 家を売却する提案書 もしっかりしていてプレゼンが一番出来ていました。 担当者と電話で話した時も、きっちり話を聞いて質問にも答えてくれたのが決め手です。 加えて売却提示額も高かったです。,5,担当が温厚な雰囲気で安心出来た。色々な情報も聞けたのもあり京都でも結構不便な場所なのも実際に私も住んでいるので売るのは大変だと納得した。近隣に売り家も多いが売れてない。,人にも相性があると思う。,特にない。,土地
843,852,中島 修,男性,56,秋田県,横手市,増田町荻袋字菅生沢,3回以上,2018-06-20,2018-09-20,2018-09-20,2018-12-28,2019-02-09,21000000,22500000,1,3,1000000,19000000,3,売却するのにはタイミングが大事である,3,"山路（やまみち）を登りながら、こう考えた。
知に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。
とかくに人の世は住みにくい。
住みにくさが高じると、安いところへ引き越したくなる。どこへ
越しても住みにくいと悟った時、詩が生まれて、画ができる。",対応が早く、私のマンションの他部屋の仲介実績が二件くらいあった。売却査定理由に納得ができたし、担当の仲介セールスマンが買い手を数人以前から確保してたみたいだから。,4,現在の不動産の売買の状況など詳しく説明していただき、価格面でのアドバイスをいただきました、また毎週きちんと状況報告もいただき、対応も丁寧、かつ迅速でありました、とても信頼できる担当者で良かったです。,やはり売り時をよく見極めてから売る事です。,特にありません。,戸建て
844,853,二瓶 敏弘,男性,42,宮城県,白石市,福岡蔵本字下り川二番,初めて,2018-07-01,2018-07-01,2018-07-01,2019-04-25,2019-04-25,22000000,21000000,1,4,1000000,18500000,1,売却価格には幅を持ちましょう！,2,築年数が古いため、そもそも売却出来るのか、という点。,土地売買や土地活用の経験に富んだ地元の知人経由の紹介だったことと、高値でのオファーが来たことが決め手。その他の面倒な交渉も初期の段階から熱心にしてくれ、仲介手数料も割り引いてもらえた。,4,当初の話し合いで、お客さんが付いて見込みがあれば連絡いただく事になっていたので、連絡頻度は特に不満はありませんでした。広告やホームページへの掲載など定期的に更新されており、対応に問題はありませんでした。,早く売りたいのであれば、相場より若干低い価格でスタートしても良かったと思います。,ありません,マンション
845,854,村瀬 順,男性,46,福島県,南相馬市,原町区馬場字深沢,2回め,2018-10-15,2018-10-20,2018-10-20,2019-03-29,2019-03-29,22490000,22000000,1,1,2000000,14000000,2,大変誠実な対応でした。,2,離婚して家が不要になった。,まず担当者の方の対応が早かったことでした。不安に感じていることやわからないことや、それまでの流れを全て聞いた上で相談に乗っていただけました。こちらが聞いたことには必ず返答があり、心配にならないように対処していただけました。,5,レスポンスが早く、近接道路幅が法定以下であった件についても、市役所からの情報を流してくれた。ご近所との調整も適切に実施してくれ、仲介という面では大変満足している。,イエウールを通じて複数の販売業者を紹介してもらい、4社と面談して業者を選定しました。できるだけ多くの業者から選択するのが良いと思います。,営業所に行った時、上司の方とご挨拶しても良かったかなと思う。,土地
846,855,西山 昭彦,男性,44,愛知県,豊田市,扶桑町２丁目,3回以上,2018-11-03,2018-11-30,2018-12-08,2019-03-28,2019-03-30,39800000,39800000,0,,,26800000,2,担当者の人柄と丁寧な対応がすべてをお任せできました。,2,きっかけは、父が前年に死亡し、母をそのまま一人で静岡においておくには不安であったため。査定価格よりかなり低い価格でしか引き合いがなかったら、と考えたら少し不安でした。,ネットで一括査定を試み、数社から回答が届きました。ある業者は「更地にした方が売りやすい」と建物を取り壊すことを勧める業者や、価格設定された業者の中でも1000万以上の差があり、どこを信用していいのか不安に思っていました。それを踏まえて、知り合いの不動産会社の方に相談して連絡を取りやすいところに頼むことにしました。,5,若い担当者でしたが清潔感があり、必要以上の連絡も無く、いつもわかりやすく丁寧な言葉で対応してくれました。メールや電話の対応も迅速で非常に満足しています。いくつかの不動産会社は動向を探りながらのらりくらりだったり、他所の悪口を言ったりするところもあり嫌な思いをしました。,私は顧問の税理士や司法書士に相談しながら進行できたので助かったので、税金に詳しい方と相談しながら進めるとスムーズに行くと思います。,空き家対策特別措置法についてしっかりと対応できるようアドバイスが欲しかった,戸建て
847,856,砂川 光,女性,45,石川県,七尾市,千野町シ部,初めて,2018-06-01,2018-06-01,2018-06-01,2019-06-30,2019-06-30,12000000,12000000,0,,,12000000,2,とても親身になって下さった。,6,老後の事を考えて、住み替えを進めたが、48歳からローンがスタートし、返済できるかが不安だったので、残債を返済し、手元に残したかった。,大手の安心感が1番大きな理由です。また担当者の方の感じも良くこちらの早く売りたいという要望に対して具体的な方法を示してくれてわかりやすかった。他の会社は1社はしつこく食い下がられ、感じが悪かった。,5,当方の事情を非常に親身に考えて頂き、又、売却にあたりいろいろと提案を頂いた結果、思いがけず早い売却が決まり、非常に良い業者に出会えたと思う。,大手の業者もそれなりの販売ルートを持っているとは思うが、地元に密接し親身になってくれる業者が一番だと感じた。,特に無し,マンション
848,857,伊藤 康則,男性,55,愛知県,豊田市,御所貝津町太田洞,2回め,2018-09-01,2018-10-25,2018-12-01,2018-12-25,2019-01-22,18000000,18000000,0,,,18000000,1,売り主の状況に寄り添える対応が決め手でした。,2,両親が亡くなり売却しましたが、売り出しから意外と時間がかかった気がします。時期が悪かったのかもしれません。,最終的には担当者の人間性だと思います。あまり口が上手すぎるのも自社の利益ばかり考えてるようで、また大手もなんか良くないとも聞いたから、地元の事をわかってる不動産会社を選んだ。,4,いわゆる「事故物件」になるかもという、不安を丁寧に取り除いてくれました。また突然の相続業務に勤しむ私達の状況を理解し、速やかに売却を進めて頂けて良かったです。,金額かスピードか等、優先順位をきちんとつけておくことが大事に思いました。できるだけ高く、早く売却できるのが理想ですが物件の特性を理解し、腹を決めておくと迷わないかと。,特にありませんでした。,土地
849,858,谷 靖,男性,40,埼玉県,飯能市,美杉台１丁目,3回以上,2018-07-01,2018-07-12,2018-08-08,2019-02-07,2019-02-08,41800000,40800000,1,1,1000000,38500000,1,不安があったが、最後にはスッキリ！,1,定年退職をきっかけに老後のことを考えて、駅近一戸建てへの住み替えのために売却を検討していました。家や庭のメンテナンスを考えると、転居の日までに売却できるか大変不安でした。,最初のレスポンスが早かったことと、地元の情報を多く持っていそうな印象を受けたことが、不動産会社を決める決め手となりました。最終的には満足のいく取引になりましたので、不満はありません。,3,売買活動は熱心に取り組んでいただき、こちらの要望を受け止め会社に掛け合ってくれて助かる部分もあった。最終的には金額部分で妥協する点もあったが、満足いく対応をしていただけた。,安心して任せられる担当者を見つけるのは大変ですが、後悔しない選択をすることが大切です。,,戸建て
850,859,白鳥 秀之,男性,54,宮城県,白石市,福岡深谷字高萩,初めて,2018-08-09,2019-06-20,2019-06-20,2019-12-09,2019-12-09,19000000,19800000,0,,,19500000,1,査定価格、売却価格、驚きのパフォーマンス,2,相続したものの、使用することもなく、固定資産税の負担が重いために売却することにしました。売れないのではないかという不安がありました。,全国展開している不動産業者であったことは不安が抑えられるポイントとなった。販売実績もしっかりあり、信頼できる根拠の説明がきちんとしていることや丁寧な印象が決め手となった。,5,同業他社にくらべ、説明がとてもわかりやすかったです。査定金額も200万円ほど高く、ほとんど値引きもなく売却でき、とても感謝しております。細かなことですが、物件近所への挨拶や、夏場でしたので、草刈りなどの見映えのご指導も助かりました。,今回は、最高査定価格で売却できましたが、幸運だったと思います。不動産会社が買う訳ではないので、ネゴシエーション力のある業者に依頼することが良いと思います。,担当者が、契約成立後、退職されたので、残念です。新しい担当者に期待します。,マンション
851,860,日比 理恵,女性,54,佐賀県,小城市,小城町晴気寺浦,2回め,2018-06-01,2018-09-07,2018-09-19,2018-10-09,2018-10-24,19800000,19800000,1,1,1000000,18000000,1,対応の素晴らしさ、親切さが決め手となりました。,2,相続した家で生活には便利だが土地が狭く、特に駐車スペースに難があり築年数も経っていたために売却を検討した。狭い土地でも売れるかが非常に不安だった。,最初、三社に声をかけてみた。最初の印象は丁寧でどこも変わらないなと思ったらその後の丁寧な対応や、こちらの都合への対応などに後から大きな差が出た。,5,熱心に相手さんを探していただいたり、こちらの悩みにも真剣に向き合っていただき、売却できるか不安だったのでうちの母もとても安心しておりました。やはり地元の方と言うことで情報に明るく素早い取引ができたことがすごく良かったと思います。,地方の物件に関しては過疎化等人口減の問題もありますのでなるべく早めにご両親がお元気なうちに売却等処分の検討された方が良いかと思います。,,土地
852,861,野坂 裕子,女性,58,愛知県,名古屋市南区,鶴見通６丁目,3回以上,2018-10-20,2018-10-20,2018-10-20,2018-11-27,2018-11-27,22000000,25000000,0,,,20500000,2,迅速、丁寧、任せて安心でした。,3,家を新築したくて。ローンの追い金もあまりしないでいける金額で売却したいと考えていました。,たまたま見に行った物件の担当者だった方なのですが、その時無理に勧めることなくもっと違う物件の方が良いのではないかと誠実に対応してくれた。新しい賃貸住宅も違う会社が窓口だったがこの方にお願いした。人気の物件だったので二次募集がないといわれていた中、粘り強く確認して空きを見つけてくれた。,5,色々と親身に対応していただけました。状況や流れなどの説明も十分でくどくなく、こちらの必要な動きについても丁寧に説明していただきました。売却についても交渉していただけました。,やはり信頼できるというのが一番だと思います。,特にありません。,戸建て
853,862,岩崎 祐二,男性,55,愛知県,常滑市,住吉町５丁目,初めて,2018-01-01,2018-12-01,2018-12-01,2019-02-01,2019-02-01,22000000,32000000,0,,,32000000,1,自分のためにどのくらい走り回ってくれるかが重要,1,両親が亡くなり、実家が空き家になったため今の家を売却して実家に帰ろうと思いました。残債が返済できるくらいの金額で売れるか心配でしたが、不動産会社さんのおかげで無事に売ることができました。,対応が早かったことと、査定の内容が詳しく書かれていたことからお会いしました。信頼できる方でしたのですぐ契約しました。,3,ちょっと抜けているところもありましたが、色々と先回りして調べてくれたり、こちらの要領を得ない質問にも丁寧に答えていただけたのでとても助かりました。,ひとそれぞれ、優先・重要事項があると思いますので、それをどのくらい解決してくれるのか、提案してくれるのかで熱量がわかると思います。,特にありません。,マンション
854,863,石岡 秀樹,男性,42,滋賀県,大津市,唐崎３丁目,2回め,2018-08-15,2018-10-15,2018-10-15,2019-02-28,2019-02-28,15000000,15000000,0,,,15000000,4,親切丁寧なので全ておまかせできました。,5,ずっとマンションだったので一戸建はちょっと怖いと思いました。,担当者は若かったがやる気があり、上司も一緒にきたので安心感があった。名義人五人分の資料を作成してくれて送ってくれたのも良かった。,4,説明が丁寧で、対応も早く、普段は忙しいのでメールで必要事項等を送信頂けたので手間がかからずスムースにことが運べた。いつもこちらに来て頂けたので助かった。,地元に詳しい業者がいいとおもいます。,なし。,土地
855,864,木下 誠,男性,58,京都府,京都市上京区,木下突抜町寺之内通衣棚西入,3回以上,2018-07-01,2018-10-01,2018-10-01,2019-06-01,2019-07-01,26000000,29000000,1,3,2000000,26000000,2,担当者の人柄が良かった,1,定年を前に出費を抑えるたかった。売却後の残金と住替えの頭金。,最初の問い合わせからレスポンスが早かった。また、唯一営業担当者が出向いてくださり、顔を合わせてお話ししたことが大きかったです。,5,不動産の売却は初めてでとても不安に感じてましたが、担当者か諸事情や諸条件を親身に聞いてくれ、誠実さが感じられたことと、経験も豊富で色々とアドバイス頂き良かった。,不動産の売却はタイミングもありますが、同業他社で査定金額がビックリするくらいに違うことを知りました。売却する際は必ず複数の業者に査定を依頼した方がよい。,特にありません。,戸建て
856,865,木全 大介,男性,47,福島県,福島市,小田字本内,初めて,2018-03-01,2018-10-01,2018-10-01,2018-12-10,2018-12-21,17800000,18100000,0,,,18100000,3,担当者の方の親身な対応に感謝です。,1,運送業を営んでいましたが、仕事が順調に回らず、金融会社から多額の借金をしてしまった。なかなか返して行くのが厳しくなり、やむを得ず売却するに至りました。27年間住んだ家を手放し、実家に戻って、また一からやり直せるのかが不安でした。,新しく購入するマンションの購入会社の方からの推薦で、売却した不動産屋に決めました。,5,とにかく親身に、誠実に対応して頂き感謝です。難しい物件にも関わらず、旧知の業者さんなど、買ってくれそうな方にどんどんあたって頂き無事成約に至りました。,会社ではなく、担当の方によると思います。,特にありません。,マンション
857,866,石田 卓,男性,62,福島県,伊達市,霊山町大石字才戸,2回め,2018-07-31,2018-08-10,2018-10-08,2019-01-15,2019-03-15,41100000,43800000,1,1,2000000,39300000,2,担当者の方の人柄,4,住み替えの為に売却する事を考えましたが、築30年以上のマンションだったので本当に売れるのか不安でした。加えて、最初に冷やかしの人が見学にきていたので、不安が増していきました。,東横線物件に強かったので、きっと良いお客がみつかるだろうと思いました。また、仲介手数料の割引サービスがあったこと。,5,メールや電話でのやり取りを常にしてくれました。2週間おきのレポートも作成してくれたのがよかったです。必要以上のことはなく、ストレスになることはありませんでした。,相見積は必須です。何社かに絞ってしつこくないところを選ぶとよいかと。,もう少し宣伝してもよいのでは？,土地
858,867,澁谷 美佐子,女性,43,青森県,三沢市,淋代４丁目,3回以上,2016-04-01,2019-08-02,2019-08-02,2020-01-23,2020-01-23,25800000,25800000,1,1,1000000,23800000,1,親身にもなってくれるしこまめな連絡も頂けましたので安心しました,1,少し居住年数がある家だったので売れるかどうか不安でした。,かなり積極的に対応してくれ、買い手探しも手広くやってくれましたのでこちらでお願いさせて頂きました。,4,やりとりは迅速、丁寧で質問に対しての回答もしっかりしており、スキルがあるんだと安心しました。星が五つじゃない理由は電話は仕事で繋がりにくいのでメール希望をしていたのですが、毎回先ずは電話がかかってきて出れないとメールが来ていたので星は四つにしました。,知人で売却を考えてる人に既に紹介しました。,メール連絡希望に対して電話を頻繁に掛けてくるのは辞めた方が良いと思う。,戸建て
859,868,成川 隆典,男性,47,島根県,雲南市,木次町宇谷本谷,初めて,2017-12-01,2017-12-10,2017-12-10,2018-11-30,2018-12-01,40000000,44000000,1,6,4000000,39500000,3,とにもかくにも早い対応で決定したかったのが一番でした。,5,家も古く、周りの環境が変わっていました。隣の家との境界の確認の関係で、建て替えなどの場合の補償も含めて、リノベで行くのかなど、どのような方法が有効かを知りたいと考えていました。,丁寧な対応、分かりやすい説明、知らないことは持ち帰り後でちゃんと説明してくれる。プライベートな話題を提供してくれて親しみ易い。,2,結局当該不動産会社の担当者というより、当該不動産を管理していた管理者との対応がほとんどであまり分からない状態であることからあまり満足出来るということはなかった。,専任契約などの間口を狭くするよりより広い情報告知をお勧めする。,前記したように当該不動産会社との直接的な関わりがほとんどなく仲介管理者とのことからあまり意見はない。,マンション
860,869,鈴木 亮,男性,50,大分県,臼杵市,大字市浜千代田区,2回め,2018-11-10,2019-02-08,2019-02-11,2019-02-28,2019-03-23,24500000,23800000,0,,,23800000,1,対応の早さと周辺地区物件情報,1,身内の資産整理で売却を検討していました。生前贈与絡みは初めてだったので不安が多く、詳しく教えてほしいと思いました。またすぐに売れるのかも不安でした。,最初に相談した時から売却金額を決める報告書がしっかりしており、信頼できると思い、専任媒介で依頼したのがきっかけでした。また、金額の相談もあったので、満足でした。,4,丁寧な対応とアレンジの早さが決めてだった。やはり地元の長く続いている不動産会社が情報も豊富だったしある程度安心して話が聞けるとの印象を受けた。,各人の条件･要望を整理して優先度に適応できる不動産会社を見つける事が必要。,特になし。,土地
861,870,西山 順,男性,42,岩手県,一関市,東山町松川字野谷起,3回以上,2018-08-01,2018-12-01,2019-01-01,2019-03-22,2019-03-22,31000000,31000000,0,,,31000000,3,地元密着の情報をもっているのが安心できました,1,老後のことを考えて息子夫婦の近くに引っ越すために、売却を検討しました。いくらで売却できるのか分からなかったため、複数の不動産会社に査定をお願いして売却額を決定しました。実際に売却するまで1年ほどかかりましたが、何とか売却することができてホッとしています。,築年数が古いため、まずは売れるかが心配でした。しかし、業者さんのご協力で売却にたどり着きました。なんといつても、販売実績と積極的アプローチができて大満足。素晴らしい方にめぐりあいました。,5,型にはまらず、ニーズに合わせて動いてくださってとても助かりました。地元の情報をたくさん持っていて、不動産売買の勉強にもなりました。遅くまで営業しておられ、営業時間外でも電気がついていれば訪ねることができたので心配を翌日に持ち越さずに済みました。,時間はたくさんあった方が有利です。早いに越したことはない！,特になし。,戸建て
862,871,島崎 聡子,その他・不明,49,宮城県,栗原市,一迫真坂字清水田川,初めて,2018-08-01,2018-11-01,2018-12-15,2019-01-15,2019-02-28,19000000,18600000,0,,,18600000,3,会社の看板より、担当者の人柄！！,1,既婚のため売却。なるべく早く売却をしたいと考えていたので結果通りとなり満足しています。身の回りの変化は特にありません。値下げもほぼせずに売却出来た点も満足。,不動産屋さんの代表が女性で話しやすかった事。土地の調査等お任せできて、現地に出向く回数が最小ですんだので助かりました。頂いた周辺地域の相場等はよく理解できましたが、宅地なのか農地なのかの違いがハッキリしませんでした。,3,住み替え後だったため、極力文書等で処理して頂き、スムーズに取引できました。受け答え等は普通。ただ、ネット上に写真を上げるのに手違いがあり、時間がかかってしまった事があったため星にマイナスです。,不動産は買って終わりではないので、アフターフォローや幅広い知識があるところが良いと思います。,,マンション
863,872,水越 太郎,男性,46,愛知県,豊川市,御津町広石小前,2回め,2018-01-01,2018-01-18,2018-02-01,2018-11-15,2019-05-15,39800000,39800000,1,1,1000000,39800000,2,大手であったことと、掲載される時期が想定よりも早くて好感が持てました。,1,引き渡しまでどれくらい時間がかかるのが一般的か分からず、一般の方の動きが少なかった。角地ではあったが、土地の形が変わっていたため、時間がかかるのは予想していなかった。,一番反応の早かった業者に決めました。 家を売却する提案書 もしっかりしていてプレゼンが一番出来ていました。 担当者と電話で話した時も、きっちり話を聞いて質問にも答えてくれたのが決め手です。 加えて売却提示額も高かったです。,3,ホームページを確認する限りは新着物件などの見出しがついていて好感が持てる感じではありました。市街地中央でしたので利便性についてもう少し言及していただければアポイントのチャンスは増えたかなと思いますが、おおむね好感が持ているサービス内容でした。,大手がいいが、友人などのつてはもっと大事。,もう少し物件の良いところのリサーチをしてほしい。,土地
864,873,藤野 太一,その他・不明,53,山形県,上山市,中山字坊澤四,3回以上,2018-06-21,2018-08-01,2018-08-01,2019-09-30,2019-09-30,37500000,37800000,0,,,32500000,2,手数料を値引きしてくれたから,99,売却物件が1973年築の旧耐震の建物でした。管理費と修繕費と固定資産税で年間50万円くらいのコストがかかり買い手がいるかとても不安でした。,対応が早く、私のマンションの他部屋の仲介実績が二件くらいあった。売却査定理由に納得ができたし、担当の仲介セールスマンが買い手を数人以前から確保してたみたいだから。,2,スタートから３人変わりました。当初の方の理解力のなさにやきもきし。私と主人の双方にメールで返答してくださとお願いをしているのに、何度も間違える＆返信が遅く。また報告書をその方のミスでこなかったことがあり、指摘し、送られてきましたが、またそこにもミスがあり。イライラが倍増。なので契約更新の際に担当者を替えてもらいました。二人目の方はお話も上手で良かったのですが、家庭の事情でお辞めになり、また交代。担当には恵まれなかったかと思います。,時期を見極めながら値段を下げるも検討してみると良いかなと思います。,もう少し契約の際の勉強をしたほうがいい。何度も書き直しを要求された。,戸建て
